Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2026-02-15,Pisa,Milan,,,,,
2026-02-15,Parma,Hellas Verona,,,,,
2026-02-15,Udinese,Sassuolo,,,,,
2026-02-15,Torino,Bologna,,,,,
2026-02-15,Napoli,Roma,,,,,
2026-02-15,Como,Fiorentina,,,,,
2026-02-15,Inter,Juventus,,,,,
2026-02-15,Cremonese,Genoa,,,,,
2026-02-15,Lazio,Atalanta,,,,,
2026-02-15,Cagliari,Lecce,,,,,
,,,,,,,
2026-02-22,Sassuolo,Hellas Verona,,,,,
2026-02-22,Roma,Cremonese,,,,,
2026-02-22,Juventus,Como,,,,,
2026-02-22,Lecce,Inter,,,,,
,Home,Away,Score,,,,
2026-02-22,Fiorentina,Pisa,,,,,
2026-02-22,Cagliari,Lazio,,,,,
2026-02-22,Bologna,Udinese,,,,,
2026-02-22,Genoa,Torino,,,,,
2026-02-22,Milan,Parma,,,,,
2026-02-22,Atalanta,Napoli,,,,,
,,,,,,,
2026-03-01,Roma,Juventus,,,,,
2026-03-01,Pisa,Bologna,,,,,
2026-03-01,Inter,Genoa,,,,,
2026-03-01,Udinese,Fiorentina,,,,,
2026-03-01,Torino,Lazio,,,,,
2026-03-01,Como,Lecce,,,,,
2026-03-01,Cremonese,Milan,,,,,
2026-03-01,Hellas Verona,Napoli,,,,,
2026-03-01,Sassuolo,Atalanta,,,,,
2026-03-01,Parma,Cagliari,,,,,
,,,,,,,
2026-03-08,Bologna,Hellas Verona,,,,,
2026-03-08,Lazio,Sassuolo,,,,,
2026-03-08,Genoa,Roma,,,,,
2026-03-08,Lecce,Cremonese,,,,,
2026-03-08,Milan,Inter,,,,,
2026-03-08,Cagliari,Como,,,,,
2026-03-08,Napoli,Torino,,,,,
2026-03-08,Juventus,Pisa,,,,,
2026-03-08,Atalanta,Udinese,,,,,
2026-03-08,Fiorentina,Parma,,,,,
,,,,,,,
2026-03-15,Napoli,Lecce,,,,,
2026-03-15,Inter,Atalanta,,,,,
2026-03-15,Pisa,Cagliari,,,,,
2026-03-15,Cremonese,Fiorentina,,,,,
2026-03-15,Hellas Verona,Genoa,,,,,
2026-03-15,Sassuolo,Bologna,,,,,
2026-03-15,Como,Roma,,,,,
2026-03-15,Torino,Parma,,,,,
2026-03-15,Lazio,Milan,,,,,
2026-03-15,Udinese,Juventus,,,,,
,,,,,,,
,Home,Away,Score,,,,
2026-03-22,Genoa,Udinese,,,,,
2026-03-22,Fiorentina,Inter,,,,,
2026-03-22,Como,Pisa,,,,,
2026-03-22,Roma,Lecce,,,,,
2026-03-22,Milan,Torino,,,,,
2026-03-22,Bologna,Lazio,,,,,
2026-03-22,Juventus,Sassuolo,,,,,
2026-03-22,Cagliari,Napoli,,,,,
2026-03-22,Parma,Cremonese,,,,,
2026-03-22,Atalanta,Hellas Verona,,,,,
,,,,,,,
2026-04-04,Napoli,Milan,,,,,
2026-04-04,Pisa,Torino,,,,,
2026-04-04,Udinese,Como,,,,,
2026-04-04,Inter,Roma,,,,,
2026-04-04,Hellas Verona,Fiorentina,,,,,
2026-04-04,Cremonese,Bologna,,,,,
2026-04-04,Lecce,Atalanta,,,,,
2026-04-04,Sassuolo,Cagliari,,,,,
2026-04-04,Juventus,Genoa,,,,,
2026-04-04,Lazio,Parma,,,,,
,,,,,,,
2026-04-12,Roma,Pisa,,,,,
2026-04-12,Parma,Napoli,,,,,
2026-04-12,Fiorentina,Lazio,,,,,
2026-04-12,Como,Inter,,,,,
2026-04-12,Bologna,Lecce,,,,,
2026-04-12,Torino,Hellas Verona,,,,,
2026-04-12,Cagliari,Cremonese,,,,,
2026-04-12,Milan,Udinese,,,,,
2026-04-12,Genoa,Sassuolo,,,,,
2026-04-12,Atalanta,Juventus,,,,,
,,,,,,,
2026-04-19,Hellas Verona,Milan,,,,,
2026-04-19,Juventus,Bologna,,,,,
2026-04-19,Roma,Atalanta,,,,,
2026-04-19,Inter,Cagliari,,,,,
2026-04-19,Pisa,Genoa,,,,,
2026-04-19,Lecce,Fiorentina,,,,,
2026-04-19,Udinese,Parma,,,,,
,Home,Away,Score,,,,
2026-04-19,Sassuolo,Como,,,,,
2026-04-19,Napoli,Lazio,,,,,
2026-04-19,Cremonese,Torino,,,,,
,,,,,,,
2026-04-26,Genoa,Como,,,,,
2026-04-26,Lazio,Udinese,,,,,
