Date,Home,Away,Score,HomeGoals,AwayGoals
2026-02-17,Exeter City,Wycombe,,,
2026-02-17,Lincoln City,Northampton,,,
2026-02-17,Barnsley,P'borough Utd,,,
2026-02-17,Doncaster,Huddersfield,,,
2026-02-17,Bradford City,Stockport,,,
2026-02-17,Burton Albion,Rotherham Utd,,,
2026-02-17,Wigan Athletic,Luton Town,,,
2026-02-17,Stevenage,Port Vale,,,
2026-02-17,Blackpool,Mansfield Town,,,
2026-02-17,Reading,Bolton,,,
,,,,,
2026-02-21,Rotherham Utd,Doncaster,,,
2026-02-21,Plymouth Argyle,Cardiff City,,,
2026-02-21,Wycombe,Stevenage,,,
2026-02-21,Northampton,Leyton Orient,,,
2026-02-21,Bolton,Blackpool,,,
2026-02-21,AFC Wimbledon,Bradford City,,,
2026-02-21,Huddersfield,Barnsley,,,
2026-02-21,Stockport,Wigan Athletic,,,
2026-02-21,Luton Town,Burton Albion,,,
,Home,Away,Score,,
2026-02-21,Port Vale,Reading,,,
2026-02-21,P'borough Utd,Exeter City,,,
2026-02-21,Mansfield Town,Lincoln City,,,
,,,,,
2026-02-24,Northampton,Port Vale,,,
,,,,,
2026-02-28,Leyton Orient,Barnsley,,,
2026-02-28,Northampton,P'borough Utd,,,
2026-02-28,Wycombe,Burton Albion,,,
2026-02-28,Port Vale,Luton Town,,,
2026-02-28,Reading,Bradford City,,,
2026-02-28,Lincoln City,Blackpool,,,
2026-02-28,Doncaster,Cardiff City,,,
2026-02-28,Stevenage,Stockport,,,
2026-02-28,Exeter City,Bolton,,,
2026-02-28,Wigan Athletic,Huddersfield,,,
2026-02-28,Mansfield Town,AFC Wimbledon,,,
2026-02-28,Rotherham Utd,Plymouth Argyle,,,
,,,,,
2026-03-03,Exeter City,Burton Albion,,,
,,,,,
2026-03-03,Barnsley,Wycombe,,,
,,,,,
2026-03-07,Stockport,Mansfield Town,,,
2026-03-07,P'borough Utd,Port Vale,,,
2026-03-07,Huddersfield,Rotherham Utd,,,
2026-03-07,Bolton,Wycombe,,,
2026-03-07,Blackpool,Wigan Athletic,,,
2026-03-07,Luton Town,Reading,,,
2026-03-07,Burton Albion,Stevenage,,,
2026-03-07,Bradford City,Leyton Orient,,,
2026-03-07,Plymouth Argyle,Doncaster,,,
2026-03-07,Cardiff City,Lincoln City,,,
2026-03-07,AFC Wimbledon,Northampton,,,
2026-03-07,Barnsley,Exeter City,,,
,,,,,
2026-03-10,Barnsley,Cardiff City,,,
,,,,,
2026-03-10,Port Vale,Bradford City,,,
,,,,,
,Home,Away,Score,,
2026-03-10,Stevenage,Leyton Orient,,,
,,,,,
2026-03-10,Exeter City,Lincoln City,,,
2026-03-10,AFC Wimbledon,Blackpool,,,
2026-03-10,Wigan Athletic,Plymouth Argyle,,,
,,,,,
2026-03-14,Wigan Athletic,Bradford City,,,
2026-03-14,Lincoln City,Stockport,,,
2026-03-14,Leyton Orient,P'borough Utd,,,
2026-03-14,Mansfield Town,Barnsley,,,
2026-03-14,Rotherham Utd,Bolton,,,
2026-03-14,Stevenage,AFC Wimbledon,,,
2026-03-14,Doncaster,Blackpool,,,
2026-03-14,Wycombe,Luton Town,,,
2026-03-14,Port Vale,Huddersfield,,,
2026-03-14,Northampton,Burton Albion,,,
2026-03-14,Exeter City,Cardiff City,,,
2026-03-14,Reading,Plymouth Argyle,,,
,,,,,
2026-03-17,Stockport,Northampton,,,
2026-03-17,Blackpool,Port Vale,,,
2026-03-17,Barnsley,Wigan Athletic,,,
2026-03-17,Plymouth Argyle,Stevenage,,,
2026-03-17,Bradford City,Mansfield Town,,,
2026-03-17,AFC Wimbledon,Leyton Orient,,,
2026-03-17,P'borough Utd,Rotherham Utd,,,
2026-03-17,Luton Town,Exeter City,,,
2026-03-17,Huddersfield,Lincoln City,,,
2026-03-17,Burton Albion,Reading,,,
2026-03-17,Cardiff City,Wycombe,,,
2026-03-17,Bolton,Doncaster,,,
,,,,,
