Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2026-03-22,Famalicão,Nacional,,,,,
,,,,,,,
2026-04-04,Casa Pia,Benfica,,,,,
2026-04-04,Nacional,Estrela,,,,,
2026-04-04,Gil Vicente FC,AVS Futebol,,,,,
2026-04-04,Porto,Famalicão,,,,,
2026-04-04,Moreirense,Braga,,,,,
2026-04-04,Vitória,Tondela,,,,,
2026-04-04,Rio Ave,Alverca,,,,,
,Home,Away,Score,,,,
2026-04-04,Sporting CP,Santa Clara,,,,,
2026-04-04,Arouca,Estoril,,,,,
,,,,,,,
2026-04-12,AVS Futebol,Vitória,,,,,
2026-04-12,Tondela,Gil Vicente FC,,,,,
2026-04-12,Benfica,Nacional,,,,,
2026-04-12,Alverca,Casa Pia,,,,,
2026-04-12,Braga,Arouca,,,,,
2026-04-12,Estrela,Sporting CP,,,,,
2026-04-12,Estoril,Porto,,,,,
2026-04-12,Famalicão,Moreirense,,,,,
2026-04-12,Santa Clara,Rio Ave,,,,,
,,,,,,,
2026-04-19,Braga,Famalicão,,,,,
2026-04-19,Arouca,Estrela,,,,,
2026-04-19,Sporting CP,Benfica,,,,,
2026-04-19,Nacional,Alverca,,,,,
2026-04-19,Rio Ave,AVS Futebol,,,,,
2026-04-19,Moreirense,Estoril,,,,,
2026-04-19,Porto,Tondela,,,,,
2026-04-19,Gil Vicente FC,Vitória,,,,,
2026-04-19,Casa Pia,Santa Clara,,,,,
,,,,,,,
2026-04-26,Benfica,Moreirense,,,,,
2026-04-26,Alverca,Arouca,,,,,
2026-04-26,Estoril,Famalicão,,,,,
2026-04-26,AVS Futebol,Sporting CP,,,,,
2026-04-26,Vitória,Rio Ave,,,,,
2026-04-26,Santa Clara,Braga,,,,,
2026-04-26,Estrela,Porto,,,,,
2026-04-26,Gil Vicente FC,Casa Pia,,,,,
2026-04-26,Tondela,Nacional,,,,,
,,,,,,,
2026-05-03,Porto,Alverca,,,,,
2026-05-03,Casa Pia,Tondela,,,,,
2026-05-03,Rio Ave,Gil Vicente FC,,,,,
2026-05-03,Famalicão,Benfica,,,,,
2026-05-03,Arouca,Santa Clara,,,,,
2026-05-03,Sporting CP,Vitória,,,,,
2026-05-03,Nacional,AVS Futebol,,,,,
,Home,Away,Score,,,,
2026-05-03,Braga,Estoril,,,,,
2026-05-03,Moreirense,Estrela,,,,,
,,,,,,,
2026-05-10,Tondela,Moreirense,,,,,
2026-05-10,Alverca,Estoril,,,,,
2026-05-10,Santa Clara,Nacional,,,,,
2026-05-10,Vitória,Casa Pia,,,,,
2026-05-10,AVS Futebol,Porto,,,,,
2026-05-10,Rio Ave,Sporting CP,,,,,
2026-05-10,Estrela,Famalicão,,,,,
2026-05-10,Benfica,Braga,,,,,
2026-05-10,Gil Vicente FC,Arouca,,,,,
,,,,,,,
2026-05-17,Sporting CP,Gil Vicente FC,,,,,
2026-05-17,Estoril,Benfica,,,,,
2026-05-17,Arouca,Tondela,,,,,
2026-05-17,Nacional,Vitória,,,,,
2026-05-17,Casa Pia,Rio Ave,,,,,
2026-05-17,Braga,Estrela,,,,,
2026-05-17,Moreirense,AVS Futebol,,,,,
2026-05-17,Famalicão,Alverca,,,,,
2026-05-17,Porto,Santa Clara,,,,,
