Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2026-01-04,Paris S-G,Paris FC,2–1,1.7,1.0,2,1
,,,,,,,
2026-01-16,Monaco,Lorient,,,,,
2026-01-16,Paris S-G,Lille,,,,,
2026-01-17,Lens,Auxerre,,,,,
2026-01-17,Toulouse,Nice,,,,,
2026-01-17,Angers,Marseille,,,,,
2026-01-18,Strasbourg,Metz,,,,,
2026-01-18,Nantes,Paris FC,,,,,
2026-01-18,Rennes,Le Havre,,,,,
2026-01-18,Lyon,Brest,,,,,
,,,,,,,
2026-01-23,Auxerre,Paris S-G,,,,,
2026-01-24,Rennes,Lorient,,,,,
2026-01-24,Le Havre,Monaco,,,,,
2026-01-24,Marseille,Lens,,,,,
2026-01-25,Nantes,Nice,,,,,
2026-01-25,Brest,Toulouse,,,,,
2026-01-25,Paris FC,Angers,,,,,
2026-01-25,Metz,Lyon,,,,,
2026-01-25,Lille,Strasbourg,,,,,
,,,,,,,
2026-01-30,Lens,Le Havre,,,,,
2026-01-31,Paris FC,Marseille,,,,,
2026-01-31,Lorient,Nantes,,,,,
2026-01-31,Monaco,Rennes,,,,,
2026-02-01,Lyon,Lille,,,,,
2026-02-01,Nice,Brest,,,,,
2026-02-01,Angers,Metz,,,,,
2026-02-01,Toulouse,Auxerre,,,,,
2026-02-01,Strasbourg,Paris S-G,,,,,
,,,,,,,
,Home,Away,Score,,,,
2026-02-08,Paris S-G,Marseille,,,,,
2026-02-08,Nice,Monaco,,,,,
2026-02-08,Metz,Lille,,,,,
2026-02-08,Le Havre,Strasbourg,,,,,
2026-02-08,Angers,Toulouse,,,,,
2026-02-08,Auxerre,Paris FC,,,,,
2026-02-08,Lens,Rennes,,,,,
2026-02-08,Nantes,Lyon,,,,,
2026-02-08,Brest,Lorient,,,,,
,,,,,,,
2026-02-15,Paris FC,Lens,,,,,
2026-02-15,Lille,Brest,,,,,
2026-02-15,Le Havre,Toulouse,,,,,
2026-02-15,Monaco,Nantes,,,,,
2026-02-15,Rennes,Paris S-G,,,,,
2026-02-15,Lyon,Nice,,,,,
2026-02-15,Metz,Auxerre,,,,,
2026-02-15,Marseille,Strasbourg,,,,,
2026-02-15,Lorient,Angers,,,,,
,,,,,,,
2026-02-22,Lens,Monaco,,,,,
2026-02-22,Toulouse,Paris FC,,,,,
2026-02-22,Auxerre,Rennes,,,,,
2026-02-22,Strasbourg,Lyon,,,,,
2026-02-22,Paris S-G,Metz,,,,,
2026-02-22,Nice,Lorient,,,,,
2026-02-22,Nantes,Le Havre,,,,,
2026-02-22,Angers,Lille,,,,,
2026-02-22,Brest,Marseille,,,,,
,,,,,,,
2026-03-01,Rennes,Toulouse,,,,,
2026-03-01,Lille,Nantes,,,,,
2026-03-01,Lorient,Auxerre,,,,,
2026-03-01,Metz,Brest,,,,,
2026-03-01,Monaco,Angers,,,,,
2026-03-01,Marseille,Lyon,,,,,
2026-03-01,Strasbourg,Lens,,,,,
2026-03-01,Le Havre,Paris S-G,,,,,
2026-03-01,Paris FC,Nice,,,,,
,,,,,,,
,Home,Away,Score,,,,
2026-03-08,Nantes,Angers,,,,,
2026-03-08,Paris S-G,Monaco,,,,,
2026-03-08,Auxerre,Strasbourg,,,,,
2026-03-08,Lille,Lorient,,,,,
2026-03-08,Brest,Le Havre,,,,,
2026-03-08,Nice,Rennes,,,,,
2026-03-08,Toulouse,Marseille,,,,,
2026-03-08,Lyon,Paris FC,,,,,
2026-03-08,Lens,Metz,,,,,
,,,,,,,
2026-03-15,Angers,Nice,,,,,
2026-03-15,Strasbourg,Paris FC,,,,,
2026-03-15,Monaco,Brest,,,,,
2026-03-15,Metz,Toulouse,,,,,
2026-03-15,Lorient,Lens,,,,,
2026-03-15,Marseille,Auxerre,,,,,
2026-03-15,Rennes,Lille,,,,,
2026-03-15,Paris S-G,Nantes,,,,,
2026-03-15,Le Havre,Lyon,,,,,
,,,,,,,
2026-03-22,Rennes,Metz,,,,,
2026-03-22,Nice,Paris S-G,,,,,
2026-03-22,Auxerre,Brest,,,,,
2026-03-22,Nantes,Strasbourg,,,,,
2026-03-22,Lyon,Monaco,,,,,
2026-03-22,Marseille,Lille,,,,,
2026-03-22,Paris FC,Le Havre,,,,,
2026-03-22,Lens,Angers,,,,,
2026-03-22,Toulouse,Lorient,,,,,
,,,,,,,
2026-04-05,Le Havre,Auxerre,,,,,
2026-04-05,Brest,Rennes,,,,,
2026-04-05,Metz,Nantes,,,,,
2026-04-05,Strasbourg,Nice,,,,,
2026-04-05,Angers,Lyon,,,,,
2026-04-05,Monaco,Marseille,,,,,
2026-04-05,Lorient,Paris FC,,,,,
2026-04-05,Paris S-G,Toulouse,,,,,
2026-04-05,Lille,Lens,,,,,
,,,,,,,
,Home,Away,Score,,,,
2026-04-12,Paris FC,Monaco,,,,,
2026-04-12,Brest,Strasbourg,,,,,
2026-04-12,Nice,Le Havre,,,,,
2026-04-12,Toulouse,Lille,,,,,
2026-04-12,Auxerre,Nantes,,,,,
2026-04-12,Marseille,Metz,,,,,
2026-04-12,Rennes,Angers,,,,,
2026-04-12,Lyon,Lorient,,,,,
2026-04-12,Lens,Paris S-G,,,,,
,,,,,,,
2026-04-19,Lille,Nice,,,,,
2026-04-19,Lorient,Marseille,,,,,
2026-04-19,Monaco,Auxerre,,,,,
2026-04-19,Strasbourg,Rennes,,,,,
2026-04-19,Paris S-G,Lyon,,,,,
2026-04-19,Nantes,Brest,,,,,
2026-04-19,Metz,Paris FC,,,,,
2026-04-19,Lens,Toulouse,,,,,
2026-04-19,Angers,Le Havre,,,,,
,,,,,,,
2026-04-26,Brest,Lens,,,,,
2026-04-26,Marseille,Nice,,,,,
2026-04-26,Toulouse,Monaco,,,,,
2026-04-26,Le Havre,Metz,,,,,
2026-04-26,Lyon,Auxerre,,,,,
2026-04-26,Lorient,Strasbourg,,,,,
2026-04-26,Rennes,Nantes,,,,,
2026-04-26,Angers,Paris S-G,,,,,
2026-04-26,Paris FC,Lille,,,,,
,,,,,,,
2026-05-03,Metz,Monaco,,,,,
2026-05-03,Lille,Le Havre,,,,,
2026-05-03,Lyon,Rennes,,,,,
2026-05-03,Paris S-G,Lorient,,,,,
2026-05-03,Nice,Lens,,,,,
2026-05-03,Auxerre,Angers,,,,,
2026-05-03,Paris FC,Brest,,,,,
2026-05-03,Nantes,Marseille,,,,,
2026-05-03,Strasbourg,Toulouse,,,,,
,,,,,,,
,Home,Away,Score,,,,
2026-05-09,Toulouse,Lyon,,,,,
2026-05-09,Le Havre,Marseille,,,,,
2026-05-09,Paris S-G,Brest,,,,,
2026-05-09,Monaco,Lille,,,,,
2026-05-09,Rennes,Paris FC,,,,,
2026-05-09,Angers,Strasbourg,,,,,
2026-05-09,Lens,Nantes,,,,,
2026-05-09,Metz,Lorient,,,,,
2026-05-09,Auxerre,Nice,,,,,
,,,,,,,
2026-05-16,Nantes,Toulouse,,,,,
2026-05-16,Lille,Auxerre,,,,,
2026-05-16,Lyon,Lens,,,,,
2026-05-16,Brest,Angers,,,,,
2026-05-16,Lorient,Le Havre,,,,,
2026-05-16,Marseille,Rennes,,,,,
2026-05-16,Nice,Metz,,,,,
2026-05-16,Strasbourg,Monaco,,,,,
2026-05-16,Paris FC,Paris S-G,,,,,
