Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10,Fri,2023-10-20,18:00 (23:00),Al Okhdood SC,1–2,Al-Fayha,792,Prince Hathloul bin Abdulaziz Sports Cit...,Sultan Mohammed Al Akairi,Match Report,
10,Fri,2023-10-20,18:00 (23:00),Al-Taawoun,1–1,Al-Ittihad,9487,Prince Abdullah bin Abdul Aziz Stadium,Georgi Kabakov,Match Report,
10,Fri,2023-10-20,21:00 (02:00),Al-Fateh,4–1,Abha,9852,Prince Abdullah bin Jalawi Stadium,Mohammed Saif Al Harbi,Match Report,
10,Fri,2023-10-20,21:00 (02:00),Al-Hilal,1–0,Al-Khaleej,8505,Prince Faisal bin Fahd Stadium,Darío Herrera,Match Report,
10,Sat,2023-10-21,18:00 (23:00),Al-Hazem,4–3,Al-Raed,532,Ar-Rass Stadium,Freeh Khalifa Al Jaloud,Match Report,
10,Sat,2023-10-21,18:00 (23:00),Al-Nassr,2–1,Damac,16875,Al Awwal Park Stadium,Said Martínez,Match Report,
10,Sat,2023-10-21,21:00 (02:00),Al-Ahli,3–1,Al-Wehda,16919,Prince Abdullah Al Faisal Stadium,Jesús Valenzuela,Match Report,
10,Sat,2023-10-21,21:00 (02:00),Al-Shabab,2–0,Al-Ta'ee,11974,Al Shabab Club Stadium,Shukri Hussein Al Hunfush,Match Report,
10,Sun,2023-10-22,18:00 (23:00),Al-Riyadh SC,1–0,Al-Ettifaq,696,Prince Faisal bin Fahd Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
,,,,,,,,,,,
11,Thu,2023-10-26,18:00 (23:00),Damac,2–0,Al Okhdood SC,1614,Damac Club Stadium,Faisal Suleiman Al Balawi,Match Report,
11,Thu,2023-10-26,18:00 (23:00),Al-Khaleej,1–1,Al-Taawoun,1992,Prince Mohammed bin Fahad bin Abdulaziz ...,Mamdouh Mufreh Al Shahdan,Match Report,
11,Thu,2023-10-26,21:00 (02:00),Al-Ittihad,2–2,Al-Hazem,12113,Prince Abdullah Al Faisal Stadium,Alexis Herrera,Match Report,
11,Fri,2023-10-27,18:00 (23:00),Al-Ta'ee,3–2,Al-Riyadh SC,3270,Prince Abdul Aziz bin Musa'ed Stadium,Abdulsamad Ali Bakri,Match Report,
