Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Bundesliga,16,Wed,2023-12-20,20:30 (03:30),Heidenheim,1.9,3–2,1.8,Freiburg,15000,Voith-Arena,Benjamin Brand,Match Report,
,,,,,,,,,,,,,,
Bundesliga,17,Fri,2024-01-12,20:30 (03:30),Bayern Munich,2.8,3–0,1.2,Hoffenheim,75000,Allianz Arena,Benjamin Brand,Match Report,
Bundesliga,17,Sat,2024-01-13,15:30 (22:30),Augsburg,0.4,0–1,2.0,Leverkusen,30055,WWK Arena,Sven Jablonski,Match Report,
Bundesliga,17,Sat,2024-01-13,15:30 (22:30),RB Leipzig,3.5,0–1,1.1,Eint Frankfurt,45867,Red Bull Arena,Frank Willenborg,Match Report,
Bundesliga,17,Sat,2024-01-13,15:30 (22:30),Freiburg,1.8,0–0,0.5,Union Berlin,33800,Europa-Park Stadion,Christian Dingert,Match Report,
Bundesliga,17,Sat,2024-01-13,15:30 (22:30),Mainz 05,0.4,1–1,0.6,Wolfsburg,24000,Mewa Arena,Patrick Ittrich,Match Report,
Bundesliga,17,Sat,2024-01-13,15:30 (22:30),Köln,0.9,1–1,0.9,Heidenheim,50000,RheinEnergieSTADION,Felix Zwayer,Match Report,
Bundesliga,17,Sat,2024-01-13,18:30 (01:30),Darmstadt 98,1.0,0–3,3.1,Dortmund,17810,Merck-Stadion am Böllenfalltor,Deniz Aytekin,Match Report,
Bundesliga,17,Sun,2024-01-14,15:30 (22:30),Bochum,0.7,1–1,0.8,Werder Bremen,26000,Vonovia Ruhrstadion,Tobias Stieler,Match Report,
Bundesliga,17,Sun,2024-01-14,17:30 (00:30),Gladbach,1.9,3–1,0.9,Stuttgart,53429,Stadion im Borussia-Park,Harm Osmers,Match Report,
,,,,,,,,,,,,,,
Bundesliga,18,Sat,2024-01-20,15:30 (22:30),Darmstadt 98,1.1,2–2,1.2,Eint Frankfurt,17750,Merck-Stadion am Böllenfalltor,Daniel Siebert,Match Report,
