Date,Home,Away,Score,HomeGoals,AwayGoals
2026-04-13,Jong Ajax,Oss,,,
,,,,,
2026-04-17,Jong PSV,Jong Ajax,,,
2026-04-17,Vitesse,MVV Maastricht,,,
2026-04-17,Almere City,Dordrecht,,,
2026-04-17,Jong Utrecht,FC Eindhoven,,,
2026-04-17,ADO Den Haag,RKC Waalwijk,,,
2026-04-17,Roda JC,Emmen,,,
2026-04-17,Oss,Den Bosch,,,
2026-04-17,Helmond Sport,VVV-Venlo,,,
2026-04-17,De Graafschap,Cambuur,,,
2026-04-17,Willem II,Jong AZ,,,
,,,,,
2026-04-24,Jong Ajax,Jong Utrecht,,,
2026-04-24,RKC Waalwijk,Jong PSV,,,
2026-04-24,Jong AZ,Roda JC,,,
2026-04-24,Emmen,De Graafschap,,,
2026-04-24,FC Eindhoven,Helmond Sport,,,
2026-04-24,Dordrecht,Willem II,,,
2026-04-24,Den Bosch,ADO Den Haag,,,
2026-04-24,MVV Maastricht,Oss,,,
2026-04-24,VVV-Venlo,Almere City,,,
2026-04-24,Cambuur,Vitesse,,,
